[-5.89639679e-01 -5.11690400e-04]
[-0.5906593  -0.00101962]
[-5.91179346e-01 -5.20049610e-04]
[-5.91196007e-01 -1.66605064e-05]
[-0.58970916  0.00148685]
[-0.58672972  0.00297943]
[-0.58227963  0.00445009]
[-0.5773917   0.00488793]
[-0.57210208  0.00528963]
[-0.56744996  0.00465212]
[-0.5634699   0.00398005]
[-0.55819153  0.00527838]
[-0.55165417  0.00653736]
[-0.54390665  0.00774752]
[-0.53600691  0.00789974]
[-0.52801414  0.00799278]
[-0.52098824  0.00702589]
[-0.51498193  0.00600631]
[-0.50804024  0.00694169]
[-0.50021519  0.00782505]
[-0.49156538  0.00864981]
[-0.48315545  0.00840993]
[-0.47504809  0.00810735]
[-0.46830359  0.00674451]
[-0.46297189  0.00533169]
[-0.4580924   0.00487949]
[-0.45370105  0.00439135]
[-0.44883009  0.00487095]
[-0.44351522  0.00531488]
[-0.4377952   0.00572001]
[-0.43371163  0.00408357]
[-0.43129408  0.00241756]
[-0.42955999  0.00173409]
[-0.42852188  0.00103811]
[-4.28187213e-01  3.34665651e-04]
[-0.4275584   0.00062881]
[-0.42663997  0.00091843]
[-0.42743852 -0.00079855]
[-0.42994831 -0.00250979]
[-0.43415127 -0.00420296]
[-0.43901707 -0.0048658 ]
[-0.44451044 -0.00549337]
[-0.44959143 -0.00508099]
[-0.45422292 -0.00463149]
[-0.46037098 -0.00614806]
[-0.46799042 -0.00761943]
[-0.47602498 -0.00803456]
[-0.48441514 -0.00839016]
[-0.4940985  -0.00968336]
[-0.50500282 -0.01090432]
[-0.51704654 -0.01204372]
[-0.5281394  -0.01109286]
[-0.5381982 -0.0100588]
[-0.54814755 -0.00994934]
[-0.55791294 -0.00976539]
[-0.56842143 -0.01050849]
[-0.57959477 -0.01117333]
[-0.59035011 -0.01075534]
[-0.60060815 -0.01025804]
[-0.60929374 -0.0086856 ]
[-0.61834368 -0.00904994]
[-0.62769256 -0.00934888]
[-0.63727337 -0.00958081]
[-0.64501805 -0.00774468]
[-0.65187208 -0.00685404]
[-0.65778764 -0.00591556]
[-0.66172374 -0.0039361 ]
[-0.6656533  -0.00392956]
[-0.66954941 -0.00389611]
[-0.67338553 -0.00383612]
[-0.67513567 -0.00175015]
[-6.75788037e-01 -6.52364654e-04]
[-6.75338226e-01  4.49810475e-04]
[-0.67378927  0.00154896]
[-0.67015161  0.00363766]
[-0.66644988  0.00370173]
[-0.66270926  0.00374062]
[-0.65695533  0.00575393]
[-0.6492277   0.00772763]
[-0.64058    0.0086477]
[-0.63107283  0.00950716]
[-0.62177351  0.00929932]
[-0.61274847  0.00902504]
[-0.60206276  0.01068572]
[-0.58979398  0.01226878]
[-0.57703199  0.01276198]
[-0.56387098  0.01316102]
[-0.54940865  0.01446233]
[-0.53375294  0.01565571]
[-0.51902109  0.01473185]
[-0.50532357  0.01369752]
[-0.49076305  0.01456052]
[-0.47544839  0.01531465]
[-0.46049361  0.01495478]
[-0.4460093   0.01448431]
[-0.43110166  0.01490763]
[-0.41587889  0.01522277]
[-0.40245002  0.01342886]
[-0.3909099   0.01154012]
[-0.37933887  0.01157103]
[-0.36781633  0.01152254]
[-0.3574201   0.01039624]
[-0.34821921  0.00920089]
[-0.34127381  0.00694539]
[-0.33662868  0.00464513]
[-0.33231345  0.00431524]
[-0.3283554   0.00395805]
[-0.32577937  0.00257603]
[-0.32460142  0.00117795]
[-0.32582886 -0.00122744]
[-0.32945407 -0.00362521]
[-0.33345443 -0.00400036]
[-0.33780478 -0.00435035]
[-0.34347754 -0.00567276]
[-0.35043643 -0.00695888]
[-0.3596364  -0.00919997]
[-0.37101709 -0.0113807 ]
[-0.38450261 -0.01348551]
[-0.39900133 -0.01449872]
[-0.41441292 -0.01541159]
[-0.42962884 -0.01521592]
[-0.44454024 -0.0149114 ]
[-0.46103903 -0.01649879]
[-0.47900427 -0.01796524]
[-0.49830298 -0.0192987 ]
[-0.51879122 -0.02048824]
[-0.53931551 -0.0205243 ]
[-0.55972198 -0.02040646]
[-0.57885805 -0.01913607]
[-0.59658157 -0.01772352]
[-0.61476208 -0.01818051]
[-0.63326736 -0.01850528]
[-0.65096488 -0.01769752]
[-0.66773024 -0.01676535]
[-0.68244797 -0.01471774]
[-0.69501893 -0.01257095]
[-0.70736015 -0.01234122]
[-0.71939192 -0.01203177]
[-0.73003824 -0.01064632]
[-0.73923335 -0.00919512]
[-0.74592167 -0.00668832]
[-0.75006348 -0.0041418 ]
[-0.75163447 -0.001571  ]
[-0.75262552 -0.00099104]
[-7.53030855e-01 -4.05337713e-04]
[-0.75184814  0.00118272]
[-0.74908422  0.00276391]
[-0.74475523  0.004329  ]
[-0.7378866   0.00686863]
[-0.72851924  0.00936736]
[-0.71670998  0.01180926]
[-0.70453204  0.01217793]
[-0.69206278  0.01246927]
[-0.67838313  0.01367965]
[-0.66358387  0.01479926]
[-0.64776532  0.01581856]
[-0.6300369   0.01772842]
[-0.61052369  0.01951321]
[-0.58936591  0.02115778]
[-0.56771807  0.02164784]
[-0.5457403   0.02197777]
[-0.5225966   0.02314371]
[-0.4984604   0.02413619]
[-0.47551257  0.02294783]
[-0.45392414  0.02158844]
[-0.43185446  0.02206967]
[-0.40946422  0.02239025]
[-0.38791335  0.02155086]
[-0.36735226  0.0205611 ]
[-0.34692057  0.02043169]
[-0.32675279  0.02016778]
[-0.30897702  0.01777576]
[-0.29370199  0.01527503]
[-0.2810177   0.01268429]
[-0.26999638  0.01102132]
[-0.26069883  0.00929756]
[-0.25217486  0.00852396]
[-0.24646897  0.0057059 ]
[-0.24361024  0.00285873]
[-2.43613062e-01 -2.82369745e-06]
[-0.24547742 -0.00186436]
[-0.24919396 -0.00371653]
[-0.25374383 -0.00454987]
[-0.25910367 -0.00535984]
[-0.26724551 -0.00814184]
[-0.278126   -0.01088049]
[-0.2906856  -0.01255959]
[-0.30485332 -0.01416772]
[-0.31954639 -0.01469307]
[-0.33467605 -0.01512966]
[-0.35114798 -0.01647193]
[-0.36885636 -0.01770838]
[-0.38868407 -0.01982771]
[-0.41049624 -0.02181217]
[-0.43414049 -0.02364425]
[-0.45844766 -0.02430717]
[-0.48324035 -0.02479269]
[-0.507335   -0.02409464]
[-0.53255157 -0.02521657]
[-0.55870101 -0.02614944]
[-0.58558766 -0.02688666]
[-0.61201208 -0.02642441]
[-0.63778114 -0.02576906]
[-0.66171048 -0.02392934]
[-0.68363337 -0.02192289]
[-0.70540158 -0.02176821]
[-0.72687288 -0.02147129]
[-0.74691237 -0.02003949]
[-0.76539951 -0.01848714]
[-0.78322806 -0.01782855]
[-0.80030039 -0.01707233]
[-0.81452771 -0.01422732]
[-0.82583973 -0.01131202]
[-0.83618302 -0.0103433 ]
[-0.84551074 -0.00932772]
[-0.85278229 -0.00727155]
[-0.85796714 -0.00518485]
[-0.86104413 -0.00307699]
[-8.61000942e-01  4.31905537e-05]
[-0.85783774  0.0031632 ]
[-0.8535672   0.00427054]
[-0.84820673  0.00536047]
[-0.84077865  0.00742808]
[-0.8313148   0.00946385]
[-0.81885719  0.01245761]
[-0.80346356  0.01539363]
[-0.787209    0.01625456]
[-0.7701771  0.0170319]
[-0.75245996  0.01771713]
[-0.73315808  0.01930188]
[-0.71238601  0.02077207]
[-0.68927253  0.02311348]
[-0.66396702  0.02530551]
[-0.63863959  0.02532743]
[-0.61346638  0.02517321]
[-0.5876273   0.02583908]
[-0.56131096  0.02631635]
[-0.53471237  0.02659859]
[-0.50803045  0.02668192]
[-0.48046525  0.0275652 ]
[-0.45222264  0.0282426 ]
[-0.42551128  0.02671136]
[-0.400525    0.02498628]
[-0.37644095  0.02408405]
[-0.35342508  0.02301587]
[-0.33063078  0.02279429]
[-0.30820425  0.02242653]
[-0.28628309  0.02192117]
[-0.26599519  0.02028789]
[-0.24745267  0.01854252]
[-0.23175235  0.01570033]
[-0.21697174  0.0147806 ]
[-0.20317996  0.01379178]
[-0.19143796  0.011742  ]
[-0.18179487  0.00964309]
[-0.1732891   0.00850577]
[-0.16595304  0.00733606]
[-0.1618135   0.00413954]
[-0.16088514  0.00092837]
[-0.16317119 -0.00228605]
[-0.16766364 -0.00449245]
[-0.17434645 -0.00668281]
[-0.18219503 -0.00784858]
[-0.19117937 -0.00898434]
[-0.20326367 -0.0120843 ]
[-0.2183974  -0.01513372]
[-0.23651345 -0.01811605]
[-0.25652615 -0.0200127 ]
[-0.27733437 -0.02080821]
[-0.29882607 -0.0214917 ]
[-0.32287869 -0.02405262]
[-0.34834736 -0.02546868]
[-0.37507071 -0.02672334]
[-0.40187151 -0.0268008 ]
[-0.42856511 -0.0266936 ]
[-0.45696185 -0.02839674]
[-0.48685504 -0.02989319]
[-0.51702325 -0.03016821]
[-0.54724078 -0.03021753]
[-0.57628114 -0.02904036]
[-0.60392802 -0.02764688]
[-0.63197825 -0.02805023]
[-0.66022988 -0.02825163]
[-0.68748523 -0.02725535]
[-0.71356036 -0.02607513]
[-0.73728665 -0.02372629]
[-0.75851782 -0.02123117]
[-0.77712937 -0.01861155]
[-0.79401754 -0.01688817]
[-0.80909283 -0.01507529]
[-0.82327926 -0.01418643]
[-0.83650887 -0.01322961]
[-0.84672145 -0.01021258]
[-0.85387272 -0.00715126]
[-0.85993279 -0.00606007]
[-0.86487711 -0.00494432]
[-0.86768616 -0.00280905]
[-8.68349053e-01 -6.62895158e-04]
[-0.86586325  0.0024858 ]
[-0.86023834  0.00562491]
[-0.85249645  0.00774188]
[-0.84266905  0.0098274 ]
[-0.83179767  0.01087137]
[-0.81993036  0.01186732]
[-0.80512194  0.01480842]
[-0.78744431  0.01767763]
[-0.7669881   0.02045621]
[-0.7438644  0.0231237]
[-0.72020633  0.02365807]
[-0.69615773  0.0240486 ]
[-0.67087197  0.02528576]
[-0.64351725  0.02735472]
[-0.61428242  0.02923483]
[-0.58537582  0.0289066 ]
[-0.55700854  0.02836728]
[-0.5293911   0.02761744]
[-0.50173023  0.02766088]
[-0.47423325  0.02749698]
[-0.44610516  0.02812809]
[-0.41755305  0.02855211]
[-0.39078293  0.02677011]
[-0.36598279  0.02480014]
[-0.3433212   0.02266159]
[-0.32294674  0.02037446]
[-0.30298792  0.01995882]
[-0.28356551  0.01942241]
[-0.26579175  0.01777376]
[-0.24976445  0.01602729]
[-0.23656758  0.01319687]
[-0.2262671   0.01030048]
[-0.21791244  0.00835467]
[-0.21154231  0.00637012]
[-0.20618542  0.00535689]
[-0.20186532  0.0043201 ]
[-0.19960063  0.00226469]
[-0.19940096  0.00019966]
[-0.20226717 -0.00286621]
[-0.20818707 -0.0059199 ]
[-0.21613502 -0.00794795]
[-0.22607559 -0.00994057]
[-0.23696287 -0.01088728]
[-0.24874461 -0.01178174]
[-0.26336198 -0.01461737]
[-0.2807388  -0.01737683]
[-0.30078016 -0.02004135]
[-0.32237095 -0.02159079]
[-0.34538094 -0.02300999]
[-0.36866479 -0.02328385]
[-0.39206925 -0.02340446]
[-0.41743478 -0.02536553]
[-0.44458315 -0.02714837]
[-0.4723186  -0.02773545]
[-0.50043714 -0.02811854]
[-0.52772925 -0.02729211]
[-0.55399038 -0.02626113]
[-0.58102389 -0.02703351]
[-0.60862884 -0.02760495]
[-0.63660296 -0.02797412]
[-0.66374569 -0.02714273]
[-0.68986801 -0.02612232]
[-0.71479438 -0.02492637]
[-0.73936413 -0.02456975]
[-0.76342631 -0.02406217]
[-0.78684099 -0.02341468]
[-0.80748028 -0.02063928]
[-0.82523865 -0.01775837]
[-0.84103108 -0.01579243]
[-0.85478664 -0.01375556]
[-0.86644726 -0.01166062]
[-0.8749665  -0.00851925]
[-0.8803121 -0.0053456]
[-0.88446454 -0.00415243]
[-0.88740902 -0.00294448]
[-8.87135287e-01  2.73734274e-04]
[-0.88464428  0.00249101]
[-0.8799447   0.00469959]
[-0.87205327  0.00789143]
[-0.86299907  0.0090542 ]
[-0.85181696  0.01118211]
[-0.83855214  0.01326481]
[-0.82326129  0.01529085]
[-0.8060137   0.01724759]
[-0.78589246  0.02012124]
[-0.76400083  0.02189163]
[-0.74045848  0.02354236]
[-0.714402    0.02605647]
[-0.68599138  0.02841062]
[-0.65541042  0.03058096]
[-0.62286644  0.03254398]
[-0.58958891  0.03327753]
[-0.55481968  0.03476923]
[-0.51881663  0.03600305]
[-0.48284945  0.03596718]
[-0.44718713  0.03566232]
[-0.41109289  0.03609424]
[-0.37482651  0.03626638]
[-0.33963925  0.03518726]
[-0.30576271  0.03387654]
[-0.27340611  0.0323566 ]
[-0.24175466  0.03165145]
[-0.21097402  0.03078064]
[-0.18320914  0.02776488]
[-0.15857606  0.02463308]
[-0.13516537  0.02341068]
[-0.11305196  0.02211342]
[-0.09329613  0.01975583]
[-0.07594302  0.01735311]
[-0.0610253   0.01491771]
[-0.04956581  0.01145949]
[-0.04157873  0.00798708]
[-0.03507222  0.00650651]
[-0.03005189  0.00502033]
[-0.0275214   0.00253048]
[-2.74824045e-02  3.90002780e-05]
[-0.03093491 -0.00345251]
[-0.03787666 -0.00694175]
[-0.04830229 -0.01042563]
[-0.06120171 -0.01289943]
[-0.07555912 -0.01435741]
[-0.09135257 -0.01579345]
[-0.11055272 -0.01920015]
[-0.13211664 -0.02156391]
[-0.15598674 -0.0238701 ]
[-0.18308807 -0.02710133]
[-0.21332167 -0.0302336 ]
[-0.24656056 -0.03323889]
[-0.28164616 -0.0350856 ]
[-0.3183912  -0.03674504]
[-0.35557992 -0.03718871]
[-0.39497608 -0.03939617]
[-0.43631315 -0.04133707]
[-0.47929741 -0.04298426]
[-0.52261296 -0.04331554]
[-0.56593589 -0.04332294]
[-0.60794216 -0.04200626]
[-0.64832257 -0.04038041]
[-0.68878923 -0.04046666]
[-0.72906706 -0.04027783]
[-0.76789962 -0.03883256]
[-0.80505961 -0.03715999]
[-0.83935069 -0.03429108]
[-0.87261224 -0.03326154]
[-0.90470891 -0.03209668]
[-0.93553054 -0.03082163]
[-0.96399115 -0.0284606 ]
[-0.99002923 -0.02603809]
[-1.012604   -0.02257477]
[-1.03169222 -0.01908822]
[-1.04928314 -0.01759092]
[-1.06537411 -0.01609097]
[-1.07896879 -0.01359469]
[-1.09007482 -0.01110603]
[-1.09770151 -0.00762669]
[-1.10185684 -0.00415533]
[-1.1045457  -0.00268886]
[-1.10577147 -0.00122577]
[-1.10453574  0.00123573]
[-1.1008369   0.00369884]
[-1.09367036  0.00716654]
[-1.08302808  0.01064228]
[-1.07090023  0.01212785]
[-1.0572787   0.01362153]
[-1.04115831  0.01612039]
[-1.02253833  0.01861998]
[-1.00042519  0.02211314]
[-0.97483662  0.02558857]
[-0.94780672  0.0270299 ]
[-0.91938714  0.02841958]
[-0.88864909  0.03073805]
[-0.85568855  0.03296054]
[-0.81962938  0.03605917]
[-0.78063054  0.03899884]
[-0.7408894   0.03974114]
[-0.69963157  0.04125783]
[-0.65711401  0.04251756]
[-0.61462164  0.04249236]
[-0.57245506  0.04216658]
[-0.52892337  0.04353169]
[-0.48435174  0.04457163]
[-0.44107379  0.04327795]
[-0.39940847  0.04166532]
[-0.35965318  0.03975529]
[-0.3200785   0.03957468]
[-0.28093714  0.03914136]
[-0.2434592   0.03747794]
[-0.20784356  0.03561564]
[-0.17425748  0.03358608]
[-0.1438375   0.03041999]
[-0.11468835  0.02914915]
[-0.08689268  0.02779567]
[-0.06051254  0.02638013]
[-0.03759133  0.02292122]
[-0.01815423  0.0194371 ]
[-0.00121343  0.0169408 ]
[0.01422739 0.01544082]
[0.02817049 0.0139431 ]
[0.03862251 0.01045202]
[0.04559129 0.00696878]
[0.05008342 0.00449213]
[0.05210371 0.00202029]
[0.05265449 0.00055077]
[ 0.05173638 -0.0009181 ]
[ 0.04834834 -0.00338805]
[ 0.04148654 -0.0068618 ]
[ 0.03114408 -0.01034246]
[ 0.01831253 -0.01283155]
[ 0.00298474 -0.01532778]
